Column1,tn,fn,tp,fp,准确率,精确率,召回率,F1
0,162,16,3459,3275,0.523871541,0.51366204,0.99539566,0.677637397
1,3439,3473,0,0,0.497540504,,0,
2,258,36,3438,3180,0.534722209,0.519492269,0.989637315,0.681331729
3,3438,3474,0,0,0.497395843,,0,
4,3439,3473,0,0,0.497540504,,0,
5,963,311,3163,2475,0.596932888,0.561014533,0.910477817,0.694249328
6,3395,3305,169,43,0.515625,0.797169805,0.048647095,0.091698321
7,573,127,3348,2864,0.567274332,0.538956881,0.963453233,0.691235694
8,794,215,3259,2644,0.586371541,0.552092135,0.938111663,0.695105021
9,1288,565,2910,2149,0.607349515,0.575212479,0.837410092,0.681977967
10,953,295,3178,2486,0.59765625,0.561087549,0.91505903,0.695633124
11,690,163,3311,2748,0.578848362,0.546459794,0.953079998,0.694639652
12,1796,947,2526,1643,0.625289381,0.605900705,0.727325082,0.661083493
13,1100,391,3083,2338,0.605179369,0.568714261,0.887449622,0.693198426
14,922,285,3189,2516,0.594762743,0.558983326,0.917962015,0.694846919
15,1607,796,2679,1830,0.620081007,0.59414506,0.770935237,0.671092189
16,1006,326,3148,2432,0.600983799,0.564157724,0.906160057,0.695383273
17,3339,3047,427,99,0.544849515,0.811787069,0.12291307,0.213500002
18,2598,1780,1693,841,0.620804369,0.668113649,0.487474799,0.563675705
19,2405,1485,1988,1034,0.635561347,0.657842517,0.572415769,0.612163209
20,1535,700,2775,1902,0.623553216,0.593329072,0.798561156,0.680814536
21,1842,901,2573,1596,0.638744235,0.617174387,0.740644813,0.673295838
22,1772,839,2636,1665,0.637731493,0.612880707,0.758561134,0.677983521
23,1541,669,2805,1897,0.62876159,0.596554637,0.807426572,0.686154576
24,1731,780,2693,1708,0.640046299,0.611906409,0.775410295,0.684023378
25,2096,1051,2422,1343,0.653645813,0.6432935,0.697379768,0.669245643
26,1699,713,2761,1739,0.645254612,0.613555551,0.794761062,0.692500616
27,2309,1214,2259,1130,0.660879612,0.666568339,0.650446296,0.658408639
28,1537,579,2895,1901,0.641203701,0.603628039,0.833333313,0.700120923
29,1613,593,2882,1824,0.650318265,0.612409711,0.829352498,0.704559352
30,2797,1678,1796,641,0.664496541,0.736971676,0.51698333,0.60768061
31,2321,1099,2376,1116,0.67954284,0.680412352,0.683741033,0.682072631
32,1810,656,2817,1629,0.669415534,0.633603215,0.811114311,0.711453452
33,2869,1723,1752,568,0.668547451,0.755172431,0.504172683,0.60465921
34,1460,394,3080,1978,0.656828701,0.60893631,0.88658607,0.721987791
35,2182,897,2576,1257,0.688368082,0.672058463,0.741721869,0.705173849
36,2541,1224,2249,898,0.692997694,0.714648843,0.647566974,0.679456196
37,2291,962,2512,1147,0.694878459,0.686526358,0.723085761,0.704331961
38,2108,778,2695,1331,0.694878459,0.669398904,0.775986195,0.718762506
39,2143,794,2678,1297,0.697482646,0.673710704,0.771313369,0.719215801
40,2118,777,2697,1320,0.696614563,0.671396554,0.776338518,0.720064072
