Column1,tn,fn,tp,fp,准确率,精确率,召回率,F1
41,2724,1367,2106,715,0.698784709,0.746543765,0.606392145,0.669208751
42,2631,1237,2238,806,0.704427063,0.735216796,0.644028783,0.686608369
43,2701,1305,2170,736,0.704716444,0.746730924,0.624460459,0.680144203
44,2567,1139,2335,871,0.709201396,0.72832191,0.67213589,0.699101815
45,2321,869,2604,1118,0.712528944,0.699623883,0.749784052,0.723836012
46,2707,1285,2190,730,0.708478034,0.75,0.630215824,0.684910084
47,2487,1013,2459,953,0.715567112,0.720691681,0.70823735,0.71441024
48,2487,1009,2466,950,0.716579854,0.721896946,0.709640265,0.715716135
49,2347,850,2624,1091,0.719184041,0.70632571,0.755325258,0.730004167
50,2463,967,2507,975,0.719039381,0.719988525,0.721646488,0.720816553
51,2391,890,2583,1048,0.719618082,0.711374283,0.7437374,0.727195947
52,2142,657,2818,1295,0.717592597,0.685144663,0.810935259,0.742751716
53,2770,1302,2172,668,0.71498841,0.764788747,0.625215888,0.687994937
54,2481,939,2533,959,0.725405097,0.725372255,0.729550719,0.727455487
55,2534,989,2485,904,0.726128459,0.733254671,0.715313733,0.7241731
56,2941,1517,1956,498,0.708478034,0.797066033,0.563201845,0.660030377
57,2882,1431,2042,557,0.712384284,0.785686791,0.587964296,0.672595516
58,2695,1146,2328,743,0.72670716,0.758059263,0.670120895,0.711382733
59,2492,908,2565,947,0.731626153,0.730353057,0.738554537,0.734430901
60,2648,1068,2406,790,0.731192112,0.752816021,0.692573428,0.721439295
61,2692,1121,2353,746,0.729890049,0.759277165,0.677317202,0.715959211
62,2411,799,2674,1028,0.735677063,0.722312272,0.769939542,0.745365862
63,2954,1512,1961,485,0.71108216,0.801717103,0.564641535,0.662611943
64,2598,983,2490,841,0.736111104,0.747523248,0.716959417,0.731922398
65,2911,1406,2069,526,0.720486104,0.797302485,0.595395684,0.681713337
66,2325,707,2767,1113,0.736689806,0.713144302,0.796488225,0.752515635
67,2629,996,2477,810,0.738715291,0.753574669,0.713216245,0.732840231
68,2361,727,2748,1076,0.739149332,0.718619227,0.790791392,0.752979861
69,2924,1440,2035,513,0.717447937,0.798665643,0.585611522,0.675743001
70,2469,814,2659,970,0.741898119,0.732708752,0.76562053,0.748803177
71,2371,725,2751,1065,0.741030097,0.72091192,0.791426957,0.754525504
72,2400,757,2717,1038,0.740306735,0.723568559,0.782095551,0.751694547
73,2219,616,2856,1221,0.73423034,0.700515091,0.822580636,0.756656511
74,2675,1039,2435,763,0.739293993,0.761413395,0.700921118,0.729916067
75,2644,998,2476,794,0.740740716,0.757186532,0.712723076,0.734282314
76,2926,1377,2097,512,0.72670716,0.803756237,0.603626966,0.689462455
77,2181,571,2904,1256,0.735677063,0.698076904,0.835683465,0.760707263
78,1965,446,3028,1473,0.722366869,0.672739387,0.871617734,0.759373039
79,2955,1436,2039,482,0.72251159,0.808806002,0.586762607,0.680120082
80,2791,1183,2290,648,0.735098362,0.779441774,0.65937233,0.714397137
81,2735,1080,2392,705,0.741753459,0.772360325,0.688940108,0.728269141
82,2766,1145,2329,672,0.737123847,0.776074648,0.670408726,0.719382228
83,2525,830,2643,914,0.747685194,0.743041873,0.761013508,0.751920321
84,2710,1072,2402,728,0.739583313,0.767412126,0.691421986,0.727437906
85,2670,981,2491,770,0.746672451,0.76387614,0.717453897,0.739937623
86,2606,898,2578,830,0.75,0.756455421,0.741657078,0.748983161
87,2496,798,2677,941,0.748408556,0.739911556,0.770359695,0.754828698
88,2527,823,2652,910,0.749276638,0.744525552,0.763165474,0.753730288
89,2785,1135,2339,653,0.741319418,0.781751335,0.673287272,0.723476644
90,2794,1168,2306,644,0.737847209,0.781694889,0.66378814,0.717932741
91,2336,649,2827,1100,0.746961832,0.719887972,0.813291132,0.763744434
92,2503,795,2679,935,0.749710619,0.741283894,0.771157146,0.755925496
93,2649,948,2527,788,0.748842597,0.762292624,0.72719425,0.744329906
94,2358,682,2792,1080,0.745081007,0.721074402,0.803684533,0.760141595
95,2892,1302,2171,547,0.732494235,0.798749089,0.625108004,0.701340677
96,2511,795,2678,928,0.750723362,0.742651165,0.771091282,0.756604058
97,2536,829,2645,902,0.749565959,0.745700598,0.761370182,0.753453929
98,2284,573,2900,1155,0.75,0.71516645,0.835012972,0.77045696
99,2588,884,2590,850,0.749131918,0.752906978,0.745538294,0.749204518
100,2576,871,2603,862,0.749276638,0.751226544,0.749280393,0.750252207
101,2569,856,2619,868,0.750578701,0.751075447,0.753669083,0.75237003
102,2926,1338,2138,510,0.732638896,0.807401836,0.615074813,0.698236465
103,2650,915,2558,789,0.753472209,0.764266491,0.736539006,0.750146615
104,2574,864,2609,865,0.74985534,0.751007497,0.751223743,0.751115605
105,2627,913,2561,811,0.750578701,0.759489894,0.737190545,0.748174098
106,2809,1130,2346,627,0.745804369,0.789101899,0.674913704,0.727554658
107,2834,1160,2314,604,0.744791687,0.793008924,0.666090965,0.724030045
108,2657,927,2546,782,0.752748847,0.765024066,0.733083785,0.748713435
109,2464,727,2747,974,0.75390625,0.738242388,0.790731132,0.763585806
110,2497,755,2719,941,0.754629612,0.742896199,0.782671273,0.762265222
111,2631,905,2569,807,0.752314806,0.760959744,0.73949337,0.750073002
112,2801,1087,2388,636,0.750723362,0.789682567,0.687194228,0.734882292
113,2588,846,2630,848,0.754918993,0.756181717,0.756616771,0.756399182
114,2673,955,2520,764,0.751302063,0.767356873,0.725179851,0.74567243
115,2725,1000,2473,714,0.752025485,0.775964856,0.712064505,0.742642646
116,2397,660,2814,1041,0.75390625,0.729961097,0.810017288,0.767908321
117,2522,771,2702,917,0.755787015,0.746615112,0.778001726,0.761985348
118,2637,881,2592,802,0.756510437,0.763700664,0.746328831,0.754914822
119,2530,771,2705,906,0.757378459,0.74909997,0.778193355,0.763369563
120,2760,1019,2455,678,0.754484951,0.783594012,0.706678152,0.743151193
121,2778,1045,2430,659,0.753472209,0.78666234,0.69928056,0.740402181
122,2687,939,2535,751,0.755497694,0.771454632,0.729706407,0.749999997
123,2701,951,2523,737,0.755787015,0.773926377,0.726252139,0.749331737
124,2437,695,2778,1002,0.754484951,0.734920621,0.799884796,0.766027829
125,2539,790,2685,898,0.755787015,0.749372005,0.772661865,0.760838747
126,2625,869,2606,812,0.756799757,0.762434185,0.749928057,0.756129413
127,2823,1083,2390,616,0.754195631,0.795076489,0.688165843,0.737768159
128,2749,1006,2469,688,0.754918993,0.78207159,0.710503578,0.744571764
129,2771,1032,2441,668,0.75405091,0.785139918,0.70285058,0.741719853
130,2636,873,2602,801,0.7578125,0.76461947,0.748776972,0.7566153
131,2459,685,2788,980,0.759114563,0.739915073,0.802764177,0.770059382
132,2533,766,2707,906,0.758101881,0.749238849,0.779441416,0.764041772
133,2280,563,2910,1159,0.750868082,0.71516341,0.837892294,0.77167858
134,2464,693,2780,975,0.758680582,0.740346193,0.800460696,0.769230763
135,2595,823,2650,844,0.758825243,0.758443058,0.763029099,0.760729166
136,2721,971,2503,717,0.755787015,0.777329206,0.720495105,0.747833887
137,2724,954,2522,712,0.758969903,0.779839218,0.725546598,0.751713861
138,2711,940,2535,726,0.758969903,0.777368903,0.729496419,0.752672217
139,2643,879,2594,796,0.75766784,0.765191734,0.746904671,0.755937622
140,2488,702,2771,951,0.760850668,0.744492233,0.797869265,0.77025713
141,2440,671,2803,998,0.758535862,0.737437487,0.80685091,0.770584184
142,2664,890,2586,772,0.759548604,0.770101249,0.743958592,0.756804223
143,2246,520,2954,1192,0.752314806,0.712493956,0.850316644,0.775328078
144,2787,1046,2428,651,0.754484951,0.788567722,0.698906183,0.741034656
145,2700,930,2542,740,0.758391201,0.774527729,0.732142866,0.752739123
146,2540,752,2722,898,0.761284709,0.751933694,0.783534825,0.767409071
147,3088,1521,1953,350,0.729311347,0.848024309,0.562176168,0.676129478
148,2464,693,2782,973,0.758969903,0.74087882,0.800575554,0.769571234
149,2441,679,2796,996,0.75766784,0.737341762,0.804604292,0.769505969
150,3004,1331,2143,434,0.744646966,0.831587136,0.616868138,0.708312666
151,2588,792,2682,850,0.762442112,0.759343147,0.772020698,0.765629446
152,2683,904,2570,755,0.759982646,0.772932351,0.73978126,0.755993553
153,2536,755,2719,902,0.760271966,0.750897527,0.782671273,0.766455242
154,3011,1332,2142,427,0.745515049,0.833787441,0.616580307,0.7089194
155,2420,646,2828,1018,0.759259284,0.735309422,0.814047217,0.772677605
156,2784,1024,2450,654,0.757233799,0.789304137,0.705238938,0.744907284
157,2609,835,2640,828,0.759403944,0.761245668,0.759712219,0.760478171
158,2597,813,2662,840,0.760850668,0.760137081,0.766043186,0.763078706
159,2558,776,2697,881,0.760271966,0.753773034,0.776562035,0.764997853
160,2157,467,3006,1282,0.746961832,0.701026142,0.865534127,0.774642459
161,2619,831,2642,820,0.761140049,0.763142705,0.760725617,0.761932244
162,2577,786,2687,862,0.76157409,0.757114708,0.773682714,0.765309052
163,2928,1186,2288,510,0.754629612,0.81772697,0.658606768,0.72959183
164,2455,677,2796,984,0.759693265,0.739682555,0.805067658,0.770991319
165,2250,514,2959,1189,0.753616869,0.713355839,0.852001131,0.776538506
166,2281,538,2935,1158,0.754629612,0.717077911,0.845090687,0.77583926
167,2560,761,2714,877,0.763020813,0.755778313,0.781007171,0.768185655
168,2839,1083,2393,597,0.756944418,0.800334454,0.688434958,0.740179388
169,2146,451,3025,1290,0.748119235,0.701042891,0.870253146,0.776537033
170,2723,925,2550,714,0.762876153,0.78125,0.733812928,0.75678883
171,2780,996,2480,656,0.760995388,0.790816307,0.713463724,0.750151216
172,2690,891,2583,748,0.762876153,0.775442839,0.7435233,0.759147691
173,2662,872,2602,776,0.76157409,0.770278275,0.748992503,0.759486276
174,2948,1249,2224,491,0.748263896,0.819152832,0.640368581,0.718810607
175,2899,1161,2314,538,0.754195631,0.811360478,0.665899277,0.73146832
176,2521,721,2753,917,0.763020813,0.750136256,0.792458236,0.770716682
177,2643,827,2646,796,0.765190959,0.768739104,0.761877358,0.765292851
178,2304,562,2913,1133,0.754774332,0.719970345,0.838273406,0.774631046
179,2363,604,2870,1075,0.757089138,0.727503181,0.826137006,0.773689178
180,2754,970,2504,684,0.760706007,0.785445392,0.720782936,0.751726183
181,2331,575,2899,1107,0.756655097,0.723664522,0.834484756,0.775133706
182,2387,626,2847,1052,0.757233799,0.730187237,0.819752395,0.772382
183,2739,930,2542,701,0.764033556,0.783842146,0.732142866,0.757110962
184,2978,1270,2204,460,0.749710619,0.827327311,0.63442719,0.718149239
185,2653,855,2619,785,0.762731493,0.769388974,0.753885984,0.761558589
186,3011,1334,2140,427,0.745225668,0.83365798,0.616004586,0.708491964
187,2556,751,2724,881,0.763888896,0.755617201,0.783884883,0.769491523
188,2387,618,2855,1052,0.758391201,0.730739713,0.822055876,0.773712753
189,2566,760,2713,873,0.763744235,0.756553292,0.781168997,0.768664122
190,2512,725,2749,926,0.761140049,0.748027205,0.791306853,0.769058608
191,2222,514,2960,1216,0.749710619,0.708812237,0.852043748,0.773856193
192,3031,1355,2118,408,0.744936347,0.838479817,0.609847367,0.70611767
193,2647,842,2632,791,0.763744235,0.76891613,0.757628083,0.763230372
194,2810,1038,2435,629,0.758825243,0.794712782,0.70112294,0.744990046
195,2699,910,2564,739,0.761429369,0.776264012,0.738054097,0.75667699
196,2578,767,2706,861,0.764467597,0.758620679,0.779153466,0.768749993
197,3008,1343,2131,430,0.743489563,0.832096815,0.61341393,0.706213744
198,2932,1192,2283,505,0.754484951,0.818866551,0.656978428,0.729043588
199,2453,675,2800,984,0.759982646,0.73995769,0.805755377,0.7714561
200,2594,776,2696,846,0.765335619,0.76115191,0.776497722,0.76874824
201,2818,1007,2467,620,0.764612257,0.799157739,0.71013242,0.752019505
202,2410,646,2829,1027,0.75795716,0.73366183,0.814100742,0.771791037
203,3111,1608,1867,326,0.720196784,0.851345181,0.537266195,0.658786171
204,2728,931,2542,711,0.762442112,0.781432509,0.731932044,0.755872724
205,2444,668,2804,996,0.759259284,0.737894714,0.807603657,0.771177092
206,2622,816,2659,815,0.764033556,0.765400112,0.765179873,0.765289976
207,2616,822,2653,821,0.762297451,0.763673007,0.763453245,0.763563111
208,2745,961,2515,691,0.760995388,0.784466624,0.723532796,0.752768632
209,2405,631,2842,1034,0.759114563,0.733230114,0.818312705,0.773438555
210,2705,889,2584,734,0.765190959,0.778782427,0.74402535,0.761007235
211,2633,835,2639,805,0.762731493,0.766260147,0.759643078,0.762937265
212,2535,750,2725,902,0.760995388,0.751309633,0.784172654,0.76738947
213,2827,1050,2424,611,0.759693265,0.798682034,0.697754741,0.744814863
214,2326,590,2883,1113,0.753616869,0.721471488,0.83011806,0.771990908
215,2805,1011,2463,633,0.762152791,0.795542657,0.708980978,0.749771686
216,2533,727,2745,907,0.763599515,0.751642942,0.790610611,0.770634485
217,2867,1121,2353,571,0.755208313,0.804719567,0.677317202,0.735542352
218,1909,357,3118,1528,0.727285862,0.671114922,0.897266209,0.767885726
219,2475,699,2775,963,0.759548604,0.742375612,0.798790991,0.769550741
220,2372,623,2851,1066,0.755642354,0.727852941,0.820667803,0.771478814
221,3078,1506,1968,360,0.730034709,0.845360816,0.566493928,0.678386741
222,2355,620,2854,1083,0.753616869,0.724917471,0.821531355,0.770206453
223,2750,942,2532,688,0.764178216,0.786335409,0.728842854,0.756498371
224,2237,536,2939,1200,0.748842597,0.710074902,0.845755398,0.771998953
225,2356,608,2867,1081,0.755642354,0.726190448,0.825035989,0.772463955
226,2754,953,2521,684,0.763165534,0.786583483,0.725676477,0.75490345
227,2152,499,2976,1285,0.741898119,0.698427618,0.856402874,0.769389875
228,2481,716,2759,956,0.758101881,0.742664874,0.793956816,0.767454791
229,2597,812,2661,842,0.760706007,0.759634614,0.76619637,0.762901383
230,2740,942,2533,697,0.762876153,0.784210503,0.728920877,0.755555552
231,2808,1039,2436,629,0.758680582,0.794779778,0.701007187,0.744954127
232,2393,630,2844,1045,0.75766784,0.73129338,0.818652868,0.772511207
233,2228,540,2935,1209,0.746961832,0.708252907,0.844604313,0.77044232
234,2752,957,2516,687,0.762152791,0.78551358,0.724445701,0.753744744
235,3039,1408,2065,400,0.73842591,0.837728202,0.59458679,0.695520364
236,2618,836,2637,821,0.760271966,0.762579501,0.759285927,0.76092915
237,2631,860,2615,806,0.758969903,0.764396369,0.752517998,0.758410676
238,2221,529,2946,1216,0.747540534,0.707832754,0.847769797,0.77150713
239,2680,891,2584,757,0.76157409,0.773421109,0.74359715,0.758215966
240,2569,793,2680,870,0.759403944,0.754929602,0.771667123,0.763206608
241,2308,587,2889,1128,0.751880765,0.719193399,0.831127763,0.771119708
242,2879,1119,2355,559,0.757233799,0.808167458,0.677892923,0.737319974
243,2577,798,2676,861,0.759982646,0.756573379,0.770293593,0.763371842
244,2616,817,2657,822,0.762876153,0.763725221,0.76482439,0.764274411
245,3004,1320,2154,434,0.74623841,0.832302928,0.620034516,0.710656528
246,2838,1084,2390,600,0.756365716,0.799331129,0.687967777,0.739480218
247,2630,850,2623,809,0.759982646,0.764277399,0.755254805,0.759739315
248,2655,860,2614,783,0.762297451,0.769502521,0.752446771,0.760879078
249,2635,852,2621,804,0.760416687,0.765255451,0.754678965,0.75993041
250,2700,910,2564,738,0.76157409,0.776499093,0.738054097,0.756788656
251,2478,737,2737,960,0.754484951,0.740329981,0.787852645,0.763352395
252,2774,968,2505,665,0.763744235,0.790220797,0.721278429,0.754177316
253,2581,805,2670,856,0.759693265,0.75723201,0.768345296,0.762748175
254,2505,745,2729,933,0.757233799,0.745221198,0.785549819,0.764854274
255,2247,561,2911,1193,0.74623841,0.709307969,0.838421643,0.768479388
256,2830,1059,2414,609,0.758680582,0.798544466,0.695076287,0.743226581
257,2516,762,2714,920,0.756655097,0.74683547,0.780782521,0.763431806
258,2630,854,2620,808,0.759548604,0.764294028,0.754173875,0.759200228
259,3158,1716,1756,282,0.7109375,0.861629069,0.505760372,0.637386578
260,2906,1175,2297,534,0.752748847,0.811374068,0.661578357,0.728859281
261,2444,705,2768,995,0.75405091,0.735583305,0.797005475,0.76506357
262,2331,624,2849,1108,0.749421299,0.719989896,0.820328236,0.76689098
263,2613,841,2632,826,0.758825243,0.761133611,0.757846236,0.759486366
264,2708,926,2547,731,0.760271966,0.776998162,0.733371735,0.754554883
265,2648,894,2579,791,0.756221056,0.765281916,0.742585659,0.753762977
266,2117,503,2970,1322,0.735966444,0.691985071,0.855168462,0.764971021
267,2919,1201,2272,520,0.751012743,0.813753605,0.654189467,0.725299295
268,2503,738,2737,934,0.758101881,0.745573401,0.787625909,0.766022948
269,2360,646,2829,1077,0.750723362,0.724270344,0.814100742,0.766562801
270,2522,754,2720,916,0.758391201,0.74807483,0.782959104,0.765119551
271,2783,1014,2460,655,0.758535862,0.789727151,0.708117425,0.746699045
272,2448,706,2769,989,0.754774332,0.736828089,0.796834528,0.765657396
273,2623,854,2620,815,0.758535862,0.762736559,0.754173875,0.758431049
274,2553,796,2680,883,0.757089138,0.752175152,0.77100116,0.761471814
275,2108,497,2977,1330,0.735677063,0.691200376,0.85693723,0.765197271
276,2663,896,2576,777,0.75795716,0.768267214,0.741935492,0.754871794
277,2552,791,2682,887,0.757233799,0.751470983,0.772243023,0.761715415
278,2599,841,2633,839,0.756944418,0.758352518,0.757915974,0.758134183
279,1687,298,3175,1752,0.703414381,0.644408345,0.91419524,0.755952376
280,2656,886,2588,782,0.758680582,0.767952502,0.744962573,0.756282862
281,2598,844,2628,842,0.756076396,0.757348716,0.75691247,0.75713053
282,2699,928,2546,739,0.758825243,0.775038064,0.732872784,0.753365896
283,2369,652,2822,1069,0.751012743,0.725263417,0.812320113,0.766327226
284,2573,817,2658,864,0.756799757,0.754684865,0.764892101,0.759754202
285,2463,723,2751,975,0.754340291,0.738325298,0.791882575,0.764166684
286,2886,1167,2307,552,0.751302063,0.806925476,0.664075971,0.728564638
287,2610,848,2627,827,0.75766784,0.760567486,0.755971193,0.758262375
288,2668,909,2563,772,0.756799757,0.768515766,0.738191247,0.753048345
289,2411,718,2754,1029,0.747251153,0.727993667,0.793202758,0.759200554
290,2479,755,2719,959,0.752025485,0.739260495,0.782671273,0.760346771
291,2779,1032,2441,660,0.755208313,0.787165403,0.70285058,0.74262245
292,2983,1349,2125,455,0.739004612,0.823643386,0.611686826,0.702015194
293,2447,714,2759,992,0.753182888,0.735537171,0.794414043,0.763842733
294,1755,325,3149,1683,0.709490716,0.65169704,0.906447887,0.75824706
295,2527,790,2684,911,0.75390625,0.746592462,0.772596419,0.759371886
296,2888,1164,2310,550,0.752025485,0.807692289,0.664939523,0.729396881
297,2937,1259,2215,501,0.745370388,0.815537572,0.637593567,0.715670452
298,2630,883,2591,808,0.755353034,0.762283027,0.745826125,0.753964785
299,2620,874,2600,818,0.755208313,0.760678768,0.748416781,0.754497958
300,2328,658,2816,1110,0.744212985,0.71726948,0.810592949,0.761081066
301,2066,489,2985,1372,0.730758131,0.68510443,0.859240055,0.762354738
302,2554,845,2630,883,0.75,0.748647869,0.756834507,0.752718929
303,2825,1106,2369,612,0.751446784,0.794699788,0.681726635,0.733890973
304,2888,1200,2275,549,0.746961832,0.805594921,0.654676259,0.722336887
305,2682,921,2553,756,0.757378459,0.771532178,0.734887719,0.752764251
306,3161,1784,1690,277,0.701822937,0.859176397,0.486470938,0.621209342
307,2614,893,2582,823,0.751736104,0.758296609,0.743021607,0.750581401
308,2320,637,2836,1119,0.74594909,0.717067003,0.816585064,0.76359719
309,2524,800,2674,914,0.752025485,0.745261967,0.769717932,0.757292556
310,2550,841,2634,887,0.75,0.748082936,0.757985592,0.753001708
311,2755,1022,2451,684,0.753182888,0.781818211,0.705729902,0.741828092
312,2657,899,2574,782,0.756799757,0.766984522,0.741145968,0.753843902
313,2331,644,2829,1108,0.746527791,0.718567431,0.814569533,0.763562748
314,2562,817,2655,878,0.754774332,0.751486003,0.764688969,0.75803
315,2530,814,2660,908,0.750868082,0.745515704,0.765687943,0.755467189
316,2781,1067,2405,659,0.750289381,0.784921646,0.692684352,0.735924113
317,3095,1589,1884,344,0.720341444,0.845601439,0.542470515,0.6609367
318,2704,982,2492,734,0.751736104,0.772473633,0.717328727,0.743880588
319,2121,530,2944,1317,0.732783556,0.690917611,0.847438097,0.761215241
320,2118,510,2964,1320,0.735243082,0.691876769,0.85319519,0.764114484
321,2387,712,2761,1052,0.744791687,0.724101782,0.794989944,0.757891871
322,2696,980,2494,742,0.750868082,0.770704567,0.717904449,0.743368113
323,2441,759,2714,998,0.745804369,0.731142223,0.781456947,0.755462757
324,2546,822,2652,892,0.752025485,0.74830699,0.763385117,0.755770856
325,2508,792,2681,931,0.750723362,0.742248058,0.771955073,0.756810156
326,2800,1095,2378,639,0.749131918,0.7882002,0.684710622,0.732819721
327,2519,811,2662,920,0.749565959,0.743160248,0.76648432,0.754642105
328,3074,1550,1926,362,0.723379612,0.841783226,0.554085135,0.668285901
329,2367,713,2761,1071,0.741898119,0.720511496,0.794761062,0.755817135
330,2295,654,2821,1142,0.740162015,0.71183449,0.811798573,0.758537258
331,2606,915,2559,832,0.747251153,0.754644632,0.736614883,0.745520765
332,1635,305,3169,1803,0.695023119,0.637369275,0.912204981,0.750414412
333,2248,614,2859,1191,0.738859951,0.705925941,0.823207617,0.760069137
334,3022,1417,2056,417,0.734664381,0.831378877,0.591995418,0.691557361
335,2601,883,2592,836,0.751302063,0.756126046,0.74589926,0.750977838
336,2757,1040,2435,680,0.751157403,0.781701446,0.700719416,0.738998478
337,2798,1110,2365,639,0.746961832,0.787283599,0.68057555,0.73005093
338,2517,811,2663,921,0.749421299,0.743024528,0.766551554,0.754604705
339,2892,1192,2281,547,0.748408556,0.806577086,0.656780899,0.724012072
340,2138,543,2931,1300,0.733362257,0.692744017,0.843695998,0.760804651
341,2336,681,2795,1100,0.74233216,0.717586637,0.804085135,0.758377409
342,2530,860,2614,908,0.744212985,0.742191911,0.752446771,0.747284161
343,2280,636,2838,1158,0.740451396,0.710210204,0.816925704,0.759839341
344,2331,695,2779,1107,0.739293993,0.715131223,0.799942434,0.755163036
345,2442,766,2709,995,0.745225668,0.731371462,0.779568374,0.754701211
346,2345,683,2791,1093,0.743055582,0.718589067,0.803396642,0.758630045
347,2497,822,2651,942,0.744791687,0.737823546,0.763316989,0.750353793
348,2637,922,2551,802,0.750578701,0.76081121,0.734523475,0.747436275
349,2761,1050,2425,676,0.750289381,0.782005787,0.697841704,0.737530393
350,2756,1065,2408,683,0.747106493,0.779035926,0.693348706,0.73369898
351,3226,2049,1427,210,0.673177063,0.871716559,0.410529345,0.558185021
352,2390,732,2743,1047,0.742621541,0.723746717,0.789352536,0.755127339
353,2382,714,2760,1056,0.743923604,0.723270416,0.794473231,0.757201633
354,2664,956,2519,773,0.74985534,0.765188336,0.72489208,0.744495342
355,2641,959,2515,797,0.74594909,0.759359896,0.723949313,0.741231932
356,1993,470,3004,1445,0.722945631,0.675207913,0.864709258,0.758298621
357,2522,829,2644,917,0.747395813,0.742488086,0.761301458,0.751777088
358,2470,786,2687,969,0.74609375,0.734956264,0.773682714,0.753822439
359,2443,775,2698,996,0.743778944,0.730373561,0.776849985,0.752895205
360,2638,971,2503,800,0.743778944,0.75779593,0.720495105,0.738674923
361,2502,830,2644,936,0.744502306,0.738547504,0.761082351,0.749645613
362,2669,988,2486,769,0.745804369,0.763748109,0.715601623,0.738891385
363,2843,1183,2293,593,0.743055582,0.794525266,0.6596663,0.7208425
364,2560,893,2581,878,0.743778944,0.746169388,0.742947638,0.744555028
365,2581,908,2567,856,0.744791687,0.749926984,0.738705039,0.744273714
366,2700,1009,2465,738,0.747251153,0.769591033,0.709556699,0.738355556
367,3070,1587,1887,368,0.717158556,0.836807072,0.543177903,0.658753709
368,2358,703,2770,1081,0.741898119,0.719293714,0.797581315,0.756417259
369,2615,949,2526,822,0.743778944,0.754480302,0.726906478,0.740436767
370,2581,886,2587,858,0.747685194,0.750943422,0.74488914,0.747904029
371,2277,659,2814,1162,0.736545146,0.707746506,0.810250521,0.755537679
372,2725,1056,2417,714,0.743923604,0.771957815,0.695940137,0.731980621
373,2608,922,2552,830,0.746527791,0.754583061,0.734599888,0.744457399
374,2329,726,2748,1109,0.73451966,0.712470829,0.791019022,0.749693093
375,2367,737,2736,1072,0.73828125,0.718487382,0.78779155,0.751545117
376,2548,869,2605,890,0.745515049,0.74535048,0.749856055,0.747596479
377,2306,711,2764,1131,0.733506918,0.709627748,0.795395672,0.750067849
378,2671,986,2487,768,0.74623841,0.764055312,0.716095567,0.739298445
379,2737,1095,2380,700,0.740306735,0.772727251,0.684892058,0.726163209
380,2661,990,2485,776,0.744502306,0.762036204,0.715107918,0.737826614
381,2473,809,2667,963,0.743634284,0.734710753,0.767261207,0.750633266
382,2129,579,2894,1310,0.72670716,0.688391984,0.833285332,0.753940322
