,类型
0,电视剧
1,犯罪
2,奇幻
3,动画
4,喜剧
5,歌舞
6,晚会
7,农村
8,运动
9,穿越
10,功夫
11,都市
12,谍战
13,儿童
14,神话
15,军旅
16,脱口秀
17,网络大电影
18,校园
19,偶像
20,黑色电影
21,恐怖
22,冒险
23,灾难
24,戏曲
25,惊悚
26,青春
27,爱情
28,短片
29,剧情
30,普通话
31,古装
32,音乐
33,悬疑
34,动作
35,西部
36,华语
37,历史
38,科幻
39,传记
40,战争
41,武侠
42,玄幻
43,旅游
44,综艺
45,真人秀
46,家庭
